0001-0150-0218,0001-0081-0091,0001-0173-0157,0001-0145-0133,0001-0153-0130,0002-0119-0167,0002-0192-0036,Average,Err
676.485,735.609,366.000,409.325,338.112,376.100,488.198,484.261,55.842
684.079,724.486,363.925,386.087,332.011,383.913,499.713,482.031,56.281
694.829,744.659,396.706,394.975,334.416,366.969,481.455,487.716,57.839
686.213,719.203,372.800,370.525,337.528,395.306,479.059,480.091,55.456
698.267,716.203,384.006,395.625,354.213,390.456,512.960,493.104,54.115
683.087,729.884,378.012,409.850,329.506,375.594,465.040,481.568,55.836
699.061,713.101,377.275,399.188,334.315,376.575,413.644,473.308,56.319
691.777,734.442,369.706,429.075,328.180,394.587,427.970,482.248,56.670
685.572,740.717,380.656,420.413,334.202,402.794,450.366,487.817,55.571
694.199,742.609,386.706,388.600,329.404,391.281,449.188,483.141,57.735
677.347,705.014,370.863,394.000,335.258,392.587,477.574,478.949,52.968
702.475,731.696,383.663,396.925,337.382,386.712,490.842,489.956,56.694
701.401,727.239,368.150,391.462,331.528,389.262,478.723,483.967,57.261
692.183,706.754,383.206,405.188,334.180,378.844,474.218,482.082,54.004
699.899,737.978,384.306,389.950,318.685,389.425,497.000,488.178,58.243
694.078,733.514,384.025,393.762,342.393,381.350,437.535,480.951,56.643
694.086,768.812,389.175,388.025,353.517,386.981,403.505,483.443,59.995
693.625,758.080,385.975,403.288,345.146,405.856,441.594,490.509,57.512
677.477,749.790,370.294,366.637,339.562,377.706,486.446,481.130,58.360
691.089,705.058,380.400,432.462,335.404,369.038,465.376,482.690,53.600
683.282,744.659,371.275,397.825,320.247,384.694,505.317,486.757,58.006
685.971,716.565,374.000,404.788,331.169,365.944,480.426,479.837,55.409
682.682,731.072,374.475,419.163,343.955,406.331,449.089,486.681,54.122
