0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
366.776,608.161,441.621,334.169,391.809,384.618,378.946,360.947,330.714,454.861,426.400,525.620,293.184,375.077,364.152,968.975,325.368,357.625,295.047,420.214,34.301
332.426,632.821,444.851,336.343,400.191,393.273,351.279,365.447,335.871,448.089,423.475,537.203,274.368,345.817,371.921,957.420,284.514,361.200,260.767,413.541,35.510
356.743,613.810,451.030,338.886,412.629,423.255,375.937,367.745,349.307,455.332,433.656,534.251,280.939,352.904,361.838,948.285,316.778,377.150,267.698,422.009,33.916
340.787,599.245,437.739,336.819,413.809,403.055,377.171,368.372,334.743,479.431,417.738,525.096,273.386,366.692,353.021,935.315,301.411,362.800,275.930,415.924,33.472
345.415,594.026,431.293,333.099,391.270,380.236,347.865,354.277,331.021,429.510,410.781,485.626,283.833,387.779,332.869,910.635,308.822,406.050,269.116,407.028,31.922
346.481,594.465,439.953,329.569,385.551,355.527,374.117,398.074,339.707,438.050,417.875,520.326,290.193,349.760,344.602,903.955,342.178,352.775,265.442,409.926,31.728
329.934,585.414,448.837,329.482,389.921,405.764,356.910,362.957,347.979,451.252,420.044,497.706,279.763,370.721,343.843,921.905,315.757,341.550,246.698,407.707,32.827
348.306,610.659,455.924,328.232,420.202,426.545,384.523,367.096,335.150,463.010,423.637,533.032,287.491,353.337,357.508,911.475,311.849,310.300,288.419,416.668,32.675
338.596,592.659,453.953,329.268,426.101,416.018,365.324,385.809,339.407,461.807,440.231,513.701,284.044,359.548,355.277,844.685,332.168,363.100,262.302,413.895,29.269
343.251,592.634,447.563,329.855,411.382,411.564,386.432,385.394,341.207,455.916,428.238,493.968,262.219,359.144,356.340,818.415,302.022,409.925,264.674,410.534,28.241
325.311,617.897,426.101,345.642,427.674,456.909,362.360,367.372,348.621,449.465,428.887,528.503,272.158,360.000,352.335,811.615,330.595,383.675,261.930,413.529,28.631
341.973,599.777,452.094,333.804,403.876,394.891,384.126,381.319,342.121,461.396,438.281,529.818,268.895,342.000,324.649,793.215,313.438,387.600,286.698,409.472,27.654
333.497,597.495,437.277,325.828,390.787,400.236,360.054,383.926,347.021,469.980,413.856,532.599,267.395,365.769,363.728,780.535,325.643,334.750,279.977,405.808,27.153
354.169,622.564,449.841,335.003,390.697,415.345,442.955,377.351,350.079,444.604,437.825,485.203,282.579,368.760,343.555,756.550,325.432,407.975,296.628,415.111,25.309
331.328,608.579,444.140,333.690,380.124,397.436,430.955,381.266,353.079,440.406,422.000,533.749,284.991,377.644,337.885,734.470,313.459,359.400,304.233,408.886,24.951
343.481,643.960,451.449,326.828,405.596,402.182,499.685,405.138,332.550,474.396,449.488,526.283,282.430,355.087,356.775,672.695,309.205,365.900,279.837,414.893,24.737
338.536,601.923,451.230,347.280,393.978,443.455,480.559,374.340,333.629,469.015,442.106,492.856,300.167,357.192,371.393,659.645,334.308,386.850,319.674,415.691,21.372
340.678,602.103,437.161,332.048,432.315,407.091,491.694,365.298,342.057,462.748,413.531,517.369,296.219,356.048,352.429,636.225,308.881,381.725,284.349,408.419,21.939
311.667,590.066,441.884,339.880,395.303,469.473,448.153,363.989,337.557,422.658,417.569,524.390,273.991,394.740,352.141,653.705,310.195,399.000,278.791,406.587,22.481
338.945,615.267,451.075,329.030,416.472,434.091,469.369,387.213,343.079,459.257,434.581,505.947,284.211,362.260,352.822,636.975,323.503,390.500,267.744,410.650,22.192
348.907,651.256,446.757,345.437,425.371,443.709,470.676,370.436,371.529,446.257,437.681,522.005,290.904,366.385,351.555,617.990,314.276,367.700,264.814,413.350,22.623
351.956,621.634,447.208,329.398,417.315,457.382,423.081,398.468,322.714,454.421,406.962,556.840,273.430,345.990,350.246,601.745,336.168,387.125,302.465,409.713,21.728
