0001-0061-0035,0001-0091-0099,0001-0049-0095,0001-0065-0081,0001-0067-0105,0001-0061-0107,Average,Err
422.986,332.534,389.094,432.311,547.394,732.632,476.159,53.700
427.347,340.595,406.157,457.120,593.556,795.279,503.342,61.736
417.817,314.530,396.921,455.934,606.374,729.029,486.768,56.872
425.996,311.996,406.260,459.695,551.949,710.147,477.674,51.398
443.005,326.745,405.559,453.922,592.768,718.485,490.081,52.720
444.456,322.381,396.110,469.808,588.313,732.000,492.178,54.669
435.368,341.636,403.677,471.341,578.788,741.691,495.417,53.710
436.850,309.559,442.299,475.617,562.535,718.309,490.861,51.437
442.034,314.441,447.110,448.305,583.717,706.279,490.315,50.624
441.975,324.385,453.937,442.048,590.152,714.618,494.519,51.016
434.716,304.806,443.543,442.731,581.172,727.191,489.026,54.343
432.812,339.575,457.063,439.653,592.909,686.735,491.458,46.786
458.268,338.360,491.677,458.683,593.202,762.309,517.083,54.106
456.331,331.915,521.024,500.575,604.939,730.765,524.258,50.370
449.792,327.243,579.433,448.036,597.010,717.956,519.912,51.616
437.329,332.968,583.417,445.898,578.717,724.735,517.178,51.813
448.402,327.065,599.520,462.132,582.687,714.074,522.313,50.986
448.106,331.158,610.071,442.958,571.111,663.221,511.104,46.406
