0007-0009,0022-0023,0037-0064,0001-0070-0060,0049-0080,0061-0081,0064-0093,0039-0090,0049-0096,0065-0111,0086-0112,0106-0122,0124-0109,0108-0046,0105-0025,0100-0012,0079-0020,0047-0003,0125-0015,Average,Err
512.317,611.322,836.750,345.404,505.101,324.218,332.324,397.021,361.750,523.371,364.806,1163.476,469.281,778.808,692.534,287.605,487.362,340.950,432.791,514.063,49.505
502.907,583.022,844.154,347.298,531.831,362.800,317.009,375.574,355.907,516.718,362.262,1226.995,466.623,810.385,713.628,294.490,464.989,397.375,399.698,519.667,52.256
530.142,584.308,846.783,345.491,516.236,356.200,320.135,416.330,347.700,523.079,356.006,1238.251,458.368,802.077,689.628,295.995,442.514,377.850,431.023,519.901,52.313
526.197,597.205,848.802,333.346,520.146,342.491,334.658,367.809,369.071,512.822,368.081,1279.567,471.570,773.010,707.288,300.625,459.232,376.550,438.163,522.454,53.706
517.820,617.894,845.397,347.422,541.539,391.036,337.009,394.394,381.629,521.688,370.431,1247.636,484.588,838.058,715.251,304.640,463.205,383.600,465.395,535.191,52.366
522.137,624.070,855.019,353.446,537.978,368.109,329.577,415.649,357.457,536.871,384.219,1234.048,478.921,865.913,709.806,323.050,462.876,364.675,413.977,533.568,52.833
510.776,597.945,868.502,355.030,471.933,348.691,311.577,418.117,360.100,524.550,366.269,1264.636,451.781,790.692,703.351,302.620,472.027,387.550,396.698,521.202,53.618
549.683,597.231,856.928,358.196,539.899,341.364,325.495,384.521,344.750,529.985,366.356,1258.957,475.825,852.740,723.953,318.215,477.270,380.925,420.326,531.717,54.162
546.213,578.817,858.962,353.009,532.674,364.964,327.820,413.096,372.179,521.168,370.812,1234.882,463.421,815.490,741.890,306.700,472.459,354.025,407.884,528.235,52.658
529.650,588.575,856.586,344.654,547.730,360.291,329.450,388.149,368.850,505.208,367.238,1248.540,466.351,825.481,698.780,308.780,468.508,363.800,400.419,524.581,53.147
528.656,595.568,848.314,352.889,544.854,381.836,325.685,395.479,359.857,546.584,367.425,1243.460,459.781,771.433,690.817,310.850,451.935,362.500,388.000,522.417,51.943
534.956,587.919,843.742,353.120,527.685,351.255,325.523,385.553,370.129,520.817,367.962,1255.428,492.860,807.423,691.859,313.925,481.465,360.850,419.884,525.913,52.628
522.262,612.289,863.396,349.133,499.494,383.091,328.631,404.989,370.057,534.673,362.150,1270.989,473.684,811.606,694.838,313.435,470.465,383.900,412.535,529.559,53.349
545.317,594.381,864.672,353.569,529.910,379.582,333.910,379.755,364.371,540.817,370.375,1217.957,452.711,815.654,671.304,314.095,469.184,368.900,399.814,524.541,51.505
515.809,594.963,853.039,355.337,582.112,392.764,330.685,395.053,374.086,514.926,371.900,1280.989,456.535,867.625,687.660,322.060,485.049,353.650,422.791,534.581,54.289
509.798,618.791,863.899,351.328,583.663,382.491,338.847,393.745,375.971,528.644,361.250,1235.251,485.825,822.865,714.356,332.945,479.400,355.325,417.953,534.334,52.284
526.776,593.055,867.070,351.822,528.090,361.291,319.054,402.202,355.329,524.361,345.038,1264.952,493.886,801.115,688.560,328.840,481.789,363.025,454.023,528.962,53.153
536.388,606.099,869.847,344.410,564.753,378.036,338.189,399.532,378.864,536.431,349.981,1309.856,478.421,855.490,706.990,335.875,455.941,409.575,431.860,541.397,55.254
549.579,614.062,870.120,356.988,564.697,371.727,319.045,382.947,360.929,526.391,362.044,1240.048,458.009,784.442,722.356,334.350,453.314,398.850,390.279,529.483,52.479
530.929,587.722,867.475,348.536,571.247,361.909,325.153,391.553,357.543,526.139,374.919,1238.401,464.746,796.577,707.021,335.445,485.795,379.325,449.209,531.560,51.903
532.710,597.707,869.450,341.151,556.517,367.527,343.243,403.564,348.350,520.866,355.306,1218.781,474.079,825.231,677.728,352.600,467.335,382.275,415.535,528.945,51.403
547.126,610.073,854.007,347.867,553.843,393.164,321.279,376.606,353.443,504.025,367.669,1291.765,462.482,830.529,722.492,335.085,461.703,349.200,378.419,529.515,55.200
538.645,610.645,853.727,354.060,562.551,408.600,331.342,411.202,352.357,524.520,370.719,1219.273,469.842,791.567,698.257,350.955,458.492,383.350,446.884,533.526,50.192
526.732,579.495,846.850,359.931,522.191,372.345,329.459,407.489,359.736,535.104,363.475,1287.807,478.377,797.750,698.000,324.970,479.854,356.525,442.721,529.937,53.358
513.639,598.538,859.178,355.973,577.730,386.509,340.000,386.777,364.893,496.223,378.363,1236.128,466.351,832.115,679.691,346.765,460.665,371.000,416.000,529.818,51.769
